id,ingredient_name,ailment_category,specific_ailments,positive_effects,negative_effects,recipe_tags,serving_suggestion
1,Ginger,Digestive Issues,"Nausea,Motion Sickness,Indigestion","Anti-inflammatory,Aids digestion,Reduces nausea,Improves circulation","May cause heartburn in excess,Blood thinner interaction",anti-nausea;digestive-aid;anti-inflammatory,Tea or added to stir-fries
2,Turmeric,Inflammation,"Arthritis,Joint Pain,Muscle Soreness","Powerful anti-inflammatory,Antioxidant,Pain relief,Improves brain function","May interact with blood thinners,Can cause stomach upset",anti-inflammatory;pain-relief;antioxidant,Golden milk or curry dishes
3,Chamomile,Sleep Issues,"Insomnia,Anxiety,Restlessness","Promotes relaxation,Aids sleep,Reduces anxiety,Soothes stomach","May cause allergic reactions in some,Drowsiness",sleep-aid;calming;digestive-aid,Tea before bedtime
4,Peppermint,Digestive Issues,"IBS,Bloating,Gas,Nausea","Relieves bloating,Soothes stomach,Freshens breath,Reduces headaches","May worsen acid reflux,Not for infants",digestive-aid;anti-nausea;cooling,Tea or fresh in salads
5,Oatmeal,Heart Health,"High Cholesterol,High Blood Pressure,Diabetes","Lowers cholesterol,Stabilizes blood sugar,High fiber,Heart healthy","Contains gluten traces,May cause bloating",heart-healthy;blood-sugar;high-fiber,Breakfast porridge
6,Salmon,Heart Health,"Heart Disease,High Cholesterol,Depression","Omega-3 rich,Reduces inflammation,Supports brain health,Protein source","High mercury risk if excessive,Expensive",heart-healthy;brain-health;anti-inflammatory,Grilled or baked
7,Blueberries,Cognitive Health,"Memory Issues,Brain Fog,Oxidative Stress","High antioxidants,Improves memory,Reduces inflammation,Supports heart","May interact with blood thinners,High sugar if excessive",brain-health;antioxidant;heart-healthy,Smoothies or fresh
8,Spinach,Blood Health,"Anemia,Low Energy,Weak Bones","Iron rich,Calcium source,Vitamin K,Folate rich","High oxalates may affect kidneys,May interact with blood thinners",blood-building;bone-health;energy-boost,Salads or smoothies
9,Garlic,Immune Support,"Cold,Flu,High Blood Pressure","Antimicrobial,Boosts immunity,Lowers blood pressure,Heart healthy","Bad breath,May cause digestive upset",immune-boost;heart-healthy;antimicrobial,Raw or cooked in dishes
10,Lemon,Immune Support,"Cold,Scurvy,Digestive Issues","Vitamin C rich,Aids digestion,Detoxifying,Alkalizing","May erode tooth enamel,Can worsen acid reflux",immune-boost;digestive-aid;detox,Water infusion or dressings
11,Honey,Respiratory Issues,"Cough,Sore Throat,Allergies","Natural cough suppressant,Antimicrobial,Soothes throat,Energy source","High in sugar,Not for infants under 1",respiratory-aid;antimicrobial;energy-boost,Tea or warm water
12,Banana,Energy and Muscles,"Muscle Cramps,Low Energy,Digestive Issues","High potassium,Quick energy,Aids digestion,Mood enhancer","High sugar,May cause constipation if unripe",energy-boost;muscle-support;digestive-aid,Smoothies or snack
13,Avocado,Heart Health,"High Cholesterol,Dry Skin,Inflammation","Healthy fats,Lowers cholesterol,Skin health,Nutrient dense","High calories,May cause allergic reactions",heart-healthy;skin-health;anti-inflammatory,Toast or salads
14,Almonds,Heart Health,"High Cholesterol,Low Energy,Weak Bones","Heart healthy fats,Protein source,Calcium rich,Vitamin E","High calories,Potential allergen",heart-healthy;bone-health;energy-boost,Snack or almond milk
15,Walnuts,Cognitive Health,"Brain Fog,Depression,Inflammation","Omega-3 rich,Brain health,Anti-inflammatory,Heart healthy","High calories,Potential allergen",brain-health;heart-healthy;anti-inflammatory,Snack or salad topping
16,Greek Yogurt,Digestive Issues,"IBS,Bloating,Weak Immunity","Probiotics,Protein rich,Calcium source,Gut health","Lactose issues for some,Added sugars in flavored",digestive-aid;immune-boost;bone-health,Breakfast or smoothies
17,Broccoli,Cancer Prevention,"Oxidative Stress,Weak Immunity,Inflammation","Antioxidants,Fiber rich,Vitamin C,Cancer-fighting compounds","May cause gas,Thyroid issues if excessive",antioxidant;immune-boost;cancer-prevention,Steamed or stir-fried
18,Sweet Potato,Blood Sugar,"Diabetes,Low Energy,Digestive Issues","Low glycemic,Fiber rich,Vitamin A,Sustained energy","High carbs,May affect blood sugar if excessive",blood-sugar;energy-boost;digestive-aid,Baked or mashed
19,Quinoa,Energy and Muscles,"Low Energy,Muscle Recovery,Digestive Issues","Complete protein,High fiber,Iron rich,Gluten-free","May cause bloating initially,Contains saponins",energy-boost;muscle-support;gluten-free,Salads or grain bowls
20,Chia Seeds,Digestive Issues,"Constipation,High Cholesterol,Inflammation","High fiber,Omega-3 rich,Aids digestion,Hydrating","May cause choking if not soaked,Digestive upset if excessive",digestive-aid;heart-healthy;anti-inflammatory,Puddings or smoothies
21,Flaxseeds,Heart Health,"High Cholesterol,Constipation,Inflammation","Omega-3 rich,Fiber rich,Lignans for hormones,Lowers cholesterol","Must be ground for absorption,May interact with medications",heart-healthy;digestive-aid;hormone-balance,Ground in smoothies
22,Green Tea,Cognitive Health,"Brain Fog,Fatigue,Oxidative Stress","Antioxidants,Mild caffeine,Boosts metabolism,Brain health","Caffeine sensitivity,May affect iron absorption",brain-health;antioxidant;energy-boost,Hot or iced tea
23,Dark Chocolate,Heart Health,"Stress,High Blood Pressure,Low Mood","Antioxidants,Mood enhancer,Heart healthy,Improves blood flow","High calories,Caffeine content",heart-healthy;mood-boost;antioxidant,Small portions as treat
24,Kale,Bone Health,"Weak Bones,Low Immunity,Inflammation","Calcium rich,Vitamin K,Antioxidants,Iron source","High oxalates,May affect thyroid",bone-health;immune-boost;antioxidant,Salads or smoothies
